Category number,E-number,Name,Maximum level (mg/l or mg/kg as appropriate),Footnotes,Restrictions/exceptions,Category name
14.2.6,E 110,Sunset Yellow FCF/Orange Yellow S,100,"The total quantity of E 104, E 110, E 124 and the colours in Group III shall not exceed the maximum listed for Group III","except: spirit drinks as defined in Article 5(1) and sales denominations listed in Annex II, paragraphs 1-14 of Regulation (EC) No 110/2008 and spirits (preceded by the name of the fruit) obtained by maceration and distillation, Geist (with the name of the fruit or the raw material used), London Gin, Sambuca, Maraschino, Marrasquino or Maraskino and Mistrà",Spirit drinks as defined in Regulation (EC) No 110/2008
14.2.6,E 123,Amaranth,30,,"except: spirit drinks as defined in Article 5(1) and sales denominations listed in Annex II, paragraphs 1-14 of Regulation (EC) No 110/2008 and spirits (preceded by the name of the fruit) obtained by maceration and distillation, Geist (with the name of the fruit or the raw material used), London Gin, Sambuca, Maraschino, Marrasquino or Maraskino and Mistrà",Spirit drinks as defined in Regulation (EC) No 110/2008
14.2.6,E 124,"Ponceau 4R, Cochineal Red A",170,"The total quantity of E 104, E 110, E 124 and the colours in Group III shall not exceed the maximum listed for Group III","except: spirit drinks as defined in Article 5(1) and sales denominations listed in Annex II, paragraphs 1-14 of Regulation (EC) No 110/2008 and spirits (preceded by the name of the fruit) obtained by maceration and distillation, Geist (with the name of the fruit or the raw material used), London Gin, Sambuca, Maraschino, Marrasquino or Maraskino and Mistrà",Spirit drinks as defined in Regulation (EC) No 110/2008
14.2.6,E 150a-d,Caramels,quantum satis,,"except: fruit spirits, spirits (preceded by the name of the fruit) obtained by maceration and distillation Geist (with the name of the fruit or the raw material used), London Gin, Sambuca, Maraschino, Marrasquino or Maraskino and Mistrà. Whisky, whiskey can only contain E 150a",Spirit drinks as defined in Regulation (EC) No 110/2008
14.2.6,E 160b,"Annatto, Bixin, Norbixin",10,,only liqueurs,Spirit drinks as defined in Regulation (EC) No 110/2008
14.2.6,E 174,Silver,quantum satis,,only liqueurs,Spirit drinks as defined in Regulation (EC) No 110/2008
14.2.6,E 175,Gold,quantum satis,,only liqueurs,Spirit drinks as defined in Regulation (EC) No 110/2008
14.2.6,E 220-228,Sulphur dioxide - sulphites,50,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present",only distilled alcoholic beverages containing whole pears,Spirit drinks as defined in Regulation (EC) No 110/2008
14.2.6,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",1 000,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,"except: whisky, whiskey",Spirit drinks as defined in Regulation (EC) No 110/2008
14.2.6,E 405,"Propane-1, 2-diol alginate",10 000,,only emulsified liqueurs,Spirit drinks as defined in Regulation (EC) No 110/2008
14.2.6,E 416,Karaya gum,10 000,,only egg-based liqueurs,Spirit drinks as defined in Regulation (EC) No 110/2008
14.2.6,E 445,Glycerol esters of wood rosins,100,,only cloudy spirit drinks,Spirit drinks as defined in Regulation (EC) No 110/2008
14.2.6,E 473-474,Sucrose esters of fatty acids - sucroglycerides,5 000,The additives may be added individually or in combination,"except: whisky, whiskey",Spirit drinks as defined in Regulation (EC) No 110/2008
14.2.6,E 475,Polyglycerol esters of fatty acids,5 000,,only emulsified liqueurs,Spirit drinks as defined in Regulation (EC) No 110/2008
14.2.6,E 481-482,Stearoyl-2-lactylates,8 000,The additives may be added individually or in combination,only emulsified liqueurs,Spirit drinks as defined in Regulation (EC) No 110/2008
14.2.7.1,Group I,Additives,,,"E 420, E421, E 953, E965, E 966, E 967 and E 968 may not be used",Aromatised wines
14.2.7.1,E 150a-d,Caramels,quantum satis,,,Aromatised wines
14.2.7.1,E 100,Curcumin,100,"In americano E 100, E 101, E 102, E 104, E 120, E 122, E 123, E 124 are authorised individually or in combination ; In bitter vino E 100, E 101, E 102, E 104, E 110, E 120, E 122, E 123, E 124, E 129 are authorised individually or in combination","only americano, bitter vino",Aromatised wines
14.2.7.1,E 101,Riboflavins,100,"In americano E 100, E 101, E 102, E 104, E 120, E 122, E 123, E 124 are authorised individually or in combination ; In bitter vino E 100, E 101, E 102, E 104, E 110, E 120, E 122, E 123, E 124, E 129 are authorised individually or in combination","only americano, bitter vino",Aromatised wines
14.2.7.1,E 102,Tartrazine,100,"In americano E 100, E 101, E 102, E 104, E 120, E 122, E 123, E 124 are authorised individually or in combination ; In bitter vino E 100, E 101, E 102, E 104, E 110, E 120, E 122, E 123, E 124, E 129 are authorised individually or in combination","only americano, bitter vino",Aromatised wines
14.2.7.1,E 104,Quinoline Yellow,50,"In americano E 100, E 101, E 102, E 104, E 120, E 122, E 123, E 124 are authorised individually or in combination ; In bitter vino E 100, E 101, E 102, E 104, E 110, E 120, E 122, E 123, E 124, E 129 are authorised individually or in combination","only americano, bitter vino",Aromatised wines
14.2.7.1,E 110,Sunset Yellow FCF/Orange Yellow S,50,"In bitter vino E 100, E 101, E 102, E 104, E 110, E 120, E 122, E 123, E 124, E 129 are authorised individually or in combination",only bitter vino,Aromatised wines
14.2.7.1,"
                           
                         E 120","Carminic acid, Carmine ",100,"In americano E 100, E 101, E 102, E 104, E 120, E 122, E 123, E 124 are authorised individually or in combination ; In bitter vino E 100, E 101, E 102, E 104, E 110, E 120, E 122, E 123, E 124, E 129 are authorised individually or in combination ; Maximum limit for aluminium coming from aluminium lakes of ","only americano, bitter vino",Aromatised wines
14.2.7.1,E 122,"Azorubine, Carmoisine",100,"In americano E 100, E 101, E 102, E 104, E 120, E 122, E 123, E 124 are authorised individually or in combination ; In bitter vino E 100, E 101, E 102, E 104, E 110, E 120, E 122, E 123, E 124, E 129 are authorised individually or in combination","only americano, bitter vino",Aromatised wines
14.2.7.1,E 123,Amaranth,100,"In americano E 100, E 101, E 102, E 104, E 120, E 122, E 123, E 124 are authorised individually or in combination ; In bitter vino E 100, E 101, E 102, E 104, E 110, E 120, E 122, E 123, E 124, E 129 are authorised individually or in combination","only americano, bitter vino",Aromatised wines
14.2.7.1,E 124,"Ponceau 4R, Cochineal Red A",50,"In americano E 100, E 101, E 102, E 104, E 120, E 122, E 123, E 124 are authorised individually or in combination ; In bitter vino E 100, E 101, E 102, E 104, E 110, E 120, E 122, E 123, E 124, E 129 are authorised individually or in combination","only americano, bitter vino",Aromatised wines
14.2.7.1,E 129,Allura Red AG,100,"In bitter vino E 100, E 101, E 102, E 104, E 110, E 120, E 122, E 123, E 124, E 129 are authorised individually or in combination",only bitter vino,Aromatised wines
14.2.7.1,E 123,Amaranth,30,,only aperitif wines,Aromatised wines
14.2.7.1,E 163,Anthocyanins,quantum satis,,only americano,Aromatised wines
14.2.7.1,E 200-202,Sorbic acid - potassium sorbate,200,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,,Aromatised wines
14.2.7.1,E 220-228,Sulphur dioxide - sulphites,200,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present",,Aromatised wines
14.2.7.1,E 242,Dimethyl dicarbonate,250,"Ingoing amount, residues not detectable",,Aromatised wines
14.2.7.1,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",1 000,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,,Aromatised wines
14.2.7.1,E 473-474,Sucrose esters of fatty acids - sucroglycerides,5 000,The additives may be added individually or in combination,,Aromatised wines
14.2.7.2,Group I,Additives,,,"E 420, E421, E 953, E965, E 966, E 967 and E 968 may not be used",Aromatised wine-based drinks
14.2.7.2,E 100,Curcumin,100,"In bitter soda E 100, E 101, E 102, E 104, E 110, E 120, E 122, E 123, E 124, E 129 are authorised individually or in combination",only bitter soda,Aromatised wine-based drinks
14.2.7.2,E 101,Riboflavins,100,"In bitter soda E 100, E 101, E 102, E 104, E 110, E 120, E 122, E 123, E 124, E 129 are authorised individually or in combination",only bitter soda,Aromatised wine-based drinks
14.2.7.2,E 102,Tartrazine,100,"In bitter soda E 100, E 101, E 102, E 104, E 110, E 120, E 122, E 123, E 124, E 129 are authorised individually or in combination",only bitter soda,Aromatised wine-based drinks
14.2.7.2,E 104,Quinoline Yellow,50,"The total quantity of E 104, E 110, E 124 and the colours in Group III shall not exceed the maximum listed for Group III",only bitter soda,Aromatised wine-based drinks
14.2.7.2,E 110,Sunset Yellow FCF/Orange Yellow S,50,"The total quantity of E 104, E 110, E 124 and the colours in Group III shall not exceed the maximum listed for Group III",only bitter soda,Aromatised wine-based drinks
14.2.7.2,"
                           
                         E 120","Carminic acid, Carmine ",100,"In bitter soda E 100, E 101, E 102, E 104, E 110, E 120, E 122, E 123, E 124, E 129 are authorised individually or in combination ; Maximum limit for aluminium coming from aluminium lakes of ",only bitter soda,Aromatised wine-based drinks
14.2.7.2,E 122,"Azorubine, Carmoisine",100,"In bitter soda E 100, E 101, E 102, E 104, E 110, E 120, E 122, E 123, E 124, E 129 are authorised individually or in combination",only bitter soda,Aromatised wine-based drinks
14.2.7.2,E 123,Amaranth,100,"In bitter soda E 100, E 101, E 102, E 104, E 110, E 120, E 122, E 123, E 124, E 129 are authorised individually or in combination",only bitter soda,Aromatised wine-based drinks
14.2.7.2,E 124,"Ponceau 4R, Cochineal Red A",50,"The total quantity of E 104, E 110, E 124 and the colours in Group III shall not exceed the maximum listed for Group III",only bitter soda,Aromatised wine-based drinks
14.2.7.2,E 129,Allura Red AG,100,"In bitter soda E 100, E 101, E 102, E 104, E 110, E 120, E 122, E 123, E 124, E 129 are authorised individually or in combination",only bitter soda,Aromatised wine-based drinks
14.2.7.2,E 150a-d,Caramels,quantum satis,,"except sangria, clarea, zurra",Aromatised wine-based drinks
14.2.7.2,E 200-202,Sorbic acid - potassium sorbate,200,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,,Aromatised wine-based drinks
14.2.7.2,E 220-228,Sulphur dioxide - sulphites,200,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present",,Aromatised wine-based drinks
14.2.7.2,E 242,Dimethyl dicarbonate,250,"Ingoing amount, residues not detectable",,Aromatised wine-based drinks
14.2.7.2,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",1 000,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,,Aromatised wine-based drinks
14.2.7.2,E 473-474,Sucrose esters of fatty acids - sucroglycerides,5 000,The additives may be added individually or in combination,,Aromatised wine-based drinks
14.2.7.3,Group I,Additives,,,"E 420, E421, E 953, E965, E 966, E 967 and E 968 may not be used",Aromatised wine-product cocktails
14.2.7.3,Group II,Colours at quantum satis,quantum satis,,,Aromatised wine-product cocktails
14.2.7.3,Group III,Colours with combined maximum limit,200,Maximum limit for aluminium coming from aluminium lakes of ,,Aromatised wine-product cocktails
14.2.7.3,E 104,Quinoline Yellow,50,"The total quantity of E 104, E 110, E 124 and the colours in Group III shall not exceed the maximum listed for Group III",,Aromatised wine-product cocktails
14.2.7.3,E 110,Sunset Yellow FCF/Orange Yellow S,50,"The total quantity of E 104, E 110, E 124 and the colours in Group III shall not exceed the maximum listed for Group III",,Aromatised wine-product cocktails
14.2.7.3,E 124,"Ponceau 4R, Cochineal Red A",50,"The total quantity of E 104, E 110, E 124 and the colours in Group III shall not exceed the maximum listed for Group III",,Aromatised wine-product cocktails
14.2.7.3,E 160d,Lycopene,10,,,Aromatised wine-product cocktails
14.2.7.3,E 200-202,Sorbic acid - potassium sorbate,200,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,,Aromatised wine-product cocktails
